Douglas Adams	Q42
Frances Eliza Hodgson Burnett	Q276028
V. C. Andrews	Q275955
John Bunyan	Q108206
Scott O'Dell	Q114509
Jack Finney	Q115674
Israel Zangwill	Q113681
Barry N. Malzberg	Q113554
Max Frisch	Q115483
Audrey Niffenegger	Q113233
Michael Köhlmeier	Q113974
Carrie Fisher	Q108941
Michael Arlen	Q115683
Victor Cherbuliez	Q116258
Christina Stead	Q441056
Esther Freud	Q441726
Jane Smiley	Q441067
Lynne Reid Banks	Q441146
Hannah Webster Foster	Q441515
Lisa Tuttle	Q440744
Alan E. Nourse	Q440612
Amanda Hocking	Q440877
A. C. Crispin	Q440569
Judy Blume	Q441214
Suzy McKee Charnas	Q441603
John Scalzi	Q277308
Berlie Doherty	Q276472
Michael McDowell	Q276817
Judith Merril	Q276304
Kate Thompson	Q276607
Matsui Kesako	Q276782
Alex Flinn	Q276355
Mary Eleanor Wilkins Freeman	Q276421
Giuseppe Tomasi di Lampedusa	Q213482
Cyrano de Bergerac	Q213614
Arundhati Roy	Q212801
Rick Riordan	Q212727
Friedrich Maximilian Klinger	Q213549
Alexander Grin	Q213997
Walter Abish	Q213806
Ghazaleh Alizadeh	Q438686
Margery Sharp	Q439059
Rose Wilder Lane	Q438558
Hoda Barakat	Q438260
Jonathan Lethem	Q440100
Jo Walton	Q438330
Christine Brooke-Rose	Q440528
Jayne Ann Krentz	Q438345
Mary Ann Shaffer	Q440146
Henry Porter	Q278862
A. B. Guthrie Jr.	Q278543
Anthony Horowitz	Q279305
A. Bertram Chandler	Q278573
Dmitry Glukhovsky	Q283408
Takeshi Kaikō	Q278174
A. A. Attanasio	Q278510
A. M. Homes	Q278953
John Steakley	Q280001
Alfred Duggan	Q280556
Shishi Bunroku	Q282859
A. L. Kennedy	Q278872
Johann Martin Miller	Q216127
Alice Walker	Q215868
Tom Wolfe	Q216195
Italo Svevo	Q216478
John Fowles	Q214660
Alan Sillitoe	Q216398
Alain Robbe-Grillet	Q216266
Upton Sinclair	Q216134
Nora Ephron	Q214677
Sonia Levitin	Q214798
Tabitha King	Q284287
Barbara Ehrenreich	Q283659
Inger Christensen	Q284171
Manuel Puig	Q284560
Alfred Bester	Q286116
Rachel de Queiroz	Q283964
Edna Ferber	Q283496
Ursula Torday	Q283531
Peter S. Beagle	Q285007
Richard Paul Evans	Q285876
Mamoru Oshii	Q285084
Émile Souvestre	Q286475
Ludvig Holberg	Q216692
Orson Scott Card	Q217110
Aleksis Kivi	Q216904
L. Ron Hubbard	Q216896
Beatrix Potter	Q214565
Nikos Kazantzakis	Q214622
Elinor Wylie	Q460055
John Cleland	Q460861
Charles Nordhoff	Q460952
Charlotte Lennox	Q441757
Simone Elkeles	Q460602
Louise Penny	Q460414
Lord Alfred Douglas	Q460660
Kim Thúy	Q460811
Anita Shreve	Q460425
Saeko Himuro	Q460430
John Banim	Q460546
Christianna Brand	Q460630
Inger Frimansson	Q460863
Jane Dieulafoy	Q460196
Mary Roberts Rinehart	Q460366
Shirley Ann Grau	Q459631
Juliet Marillier	Q460187
Anne Bishop	Q460303
Lois Duncan	Q460323
Sapphire	Q461075
Helen Hunt Jackson	Q462363
Joanne Greenberg	Q462860
James Jones	Q462629
Félicien Marceau	Q462579
Elizabeth Jolley	Q461902
Kyokutei Bakin	Q463142
Laurens van der Post	Q463233
Michio Takeyama	Q461845
Sylvia Townsend Warner	Q462270
Roger Vailland	Q462356
Frances Fyfield	Q463182
Lynn Flewelling	Q463279
Buchi Emecheta	Q461675
Refik Halid Karay	Q462689
Mohammed Dib	Q462649
Janny Wurts	Q462138
André Pieyre de Mandiargues	Q462583
Marie Cardinal	Q462810
Sidonie de la Houssaye	Q461837
Jirō Osaragi	Q462157
Franz Ziegler	Q87840
Karl Spindler	Q87477
Dimitré Dinev	Q87994
Eduard Heyck	Q88031
Ror Wolf	Q88127
Philipp Hafner	Q88138
Paul Keller	Q88204
Amand von Schweiger-Lerchenfeld	Q87576
Matthew Gregory Lewis	Q121060
Władysław Reymont	Q121180
Ottokar Kernstock	Q88076
Francisco Coloane	Q119563
Wolfgang Müller von Königswinter	Q87848
August Kopisch	Q88387
Jay Asher	Q116692
Lukas Bärfuss	Q118973
Ludwig Pfau	Q88383
Susan Eloise Hinton	Q117425
Ha Jin	Q121778
Maria Janitschek	Q88216
Adam Thorpe	Q119142
Jane Bowles	Q120432
Iris Murdoch	Q217495
Joyce Carol Oates	Q217557
Anthony Burgess	Q217619
Hiromi Kawakami	Q286701
Charlotte Perkins Gilman	Q287752
Angus Wilson	Q287460
Ann Radcliffe	Q231944
Anna Kavan	Q287679
Aphra Behn	Q231886
Tracy Chevalier	Q232212
Ruth Rendell	Q232260
A. S. Byatt	Q232417
Susanna Clarke	Q232772
Helen Fielding	Q232359
Margaret Weis	Q233033
Misha Defonseca	Q464656
Monica Ali	Q464960
Cornelius Ryan	Q463975
Sophie Ristaud Cottin	Q464409
Jennifer Donnelly	Q464963
Marion Zimmer Bradley	Q465179
Camille Laurens	Q464397
Audre Lorde	Q463319
Stella Rimington	Q464976
Clorinda Matto de Turner	Q463299
Gabrielle Wittkop	Q464438
Mariama Bâ	Q464389
Yuriko Miyamoto	Q464756
Émile Gaboriau	Q463513
Susan Kay	Q463868
Nelly Arcan	Q464143
Winston Groom	Q464700
Anna Gavalda	Q217388
Alexander Radishchev	Q217470
L. J. Smith	Q233424
Anne McCaffrey	Q233046
Nicholas Sparks	Q219377
Colette	Q218679
Laurence Sterne	Q218960
Jerome K. Jerome	Q218698
Raymond Queneau	Q218690
Guillermo del Toro	Q219124
Margaret Landon	Q465216
Renate Dorrestein	Q465183
Kate Cary	Q465326
Sarah Monette	Q465851
Jessica Hagedorn	Q465222
Andrée Chedid	Q465721
Marjorie Kinnan Rawlings	Q465237
Cherith Baldry	Q465339
Milton Hatoum	Q465693
Ayşe Kulin	Q465181
Jhumpa Lahiri	Q465208
Margaret Maron	Q465231
Jessie Redmon Fauset	Q465624
Kuniko Mukōda	Q465576
Lygia Fagundes Telles	Q465421
Hilary Mantel	Q465700
Arnulf Baring	Q88393
Ernst Eckstein	Q88752
Heinrich Heppe	Q88404
Jane Lindskold	Q121899
Karl Friedrich Henckell	Q88710
Ludwig Ferdinand Huber	Q88699
Lawrence Durrell	Q219784
Vicente Blasco Ibáñez	Q219646
Hunter S. Thompson	Q219780
Zona Gale	Q219829
Kurt Floericke	Q216746
August Fendler	Q216437
Kate Morton	Q465890
Jakob Klatzkin	Q216576
Ethel Lilian Voynich	Q466068
Nicole Krauss	Q466431
C. J. Cherryh	Q234030
Charlaine Harris	Q233566
Muriel Spark	Q233956
Jeanette Winterson	Q233584
Sofi Oksanen	Q233953
Kingsley Amis	Q220078
Anaïs Nin	Q220018
Poul Anderson	Q220883
Raymond Carver	Q219862
Pierre Boulle	Q219910
Zora Neale Hurston	Q220480
Johanna Spyri	Q123053
Hilary Duff	Q122020
Gottfried Keller	Q122370
Lynd Ward	Q122644
Jeremias Gotthelf	Q122358
Robert A. Heinlein	Q123078
Ngaio Marsh	Q234392
Cecily von Ziegesar	Q234255
Halide Edib Adıvar	Q234289
Robin Hobb	Q234403
Dimitrie Gusti	Q220269
Edward Albee	Q219420
Pio Baroja	Q220980
César Vallejo	Q222744
Ed Wood	Q221843
Patrick Dennis	Q222708
Ian Irvine	Q222509
André Maurois	Q224029
Ennio Flaiano	Q222791
Robert Ludlum	Q224113
Eiji Yoshikawa	Q221957
Hans Martin Sutermeister	Q123283
Sinclair Lewis	Q123469
Eric Nylund	Q123392
Blaise Cendrars	Q123080
Václav Havel	Q36233
Emma Orczy	Q234530
Mercè Rodoreda	Q234663
Susanna Tamaro	Q234621
Flannery O'Connor	Q234579
Marquis de Sade	Q123867
Charles Williams	Q1066463
James Thurber	Q124527
Keigo Higashino	Q125970
Frederick Exley	Q124633
Félix Vallotton	Q123740
Zoé Oldenbourg	Q227099
Alphonse Daudet	Q228546
Henrik Pontoppidan	Q225554
Steve Berry	Q225089
Zoë Heller	Q227113
Angela Carter	Q234519
Jodi Picoult	Q234443
Connie Willis	Q234700
Alice Munro	Q234819
Djuna Barnes	Q234721
Joanne Harris	Q234718
Annie Proulx	Q229840
Jane Jacobs	Q234335
Moshe Safdie	Q220944
Antonio Tabucchi	Q231781
Sarah Kane	Q231141
Maria Gripe	Q234373
Agnès Jaoui	Q240521
R. D. Laing	Q238584
Miguel Mihura	Q239249
Annie M. G. Schmidt	Q239522
Chantal Akerman	Q239823
Alice Bradley Sheldon	Q234928
Marie NDiaye	Q237106
Carol Ann Duffy	Q237994
Mary Baker Eddy	Q235069
Marcel Pagnol	Q236630
Dubravka Ugrešić	Q237416
Giordano Bruno	Q36330
Maria Semyonova	Q36546
Elizabeth Gaskell	Q229226
Lois McMaster Bujold	Q229369
P. L. Travers	Q228901
Cecelia Ahern	Q229403
Willa Cather	Q229480
Nellie Bly	Q230299
Chimamanda Ngozi Adichie	Q230141
Laura Esquivel	Q230586
Jean M. Auel	Q229996
Kate Chopin	Q230476
Tycho Brahe	Q36620
Rasul Gamzatov	Q36878
Aung San Suu Kyi	Q36740
Colleen McCullough	Q228801
Kiran Desai	Q228589
Suzanne Collins	Q228624
Sue Grafton	Q234865
Graham Greene	Q128560
René Bazin	Q127539
Jenő Rejtő	Q128714
Georges Simenon	Q128790
Fyodor Tyutchev	Q37217
J. Michael Straczynski	Q126941
Lars Ahlin	Q126377
William Humphrey	Q127079
Charlotte Brontë	Q127332
Sun Tzu	Q37151
Florence Nightingale	Q37103
Elizabeth Bowen	Q235308
Mary Renault	Q235354
Sophie Kinsella	Q235014
Amy Tan	Q234989
Lynne Cheney	Q234992
Cassandra Clare	Q235364
Molly Ringwald	Q231460
Elizabeth Gilbert	Q231424
Camilla Läckberg	Q231320
Jean Rhys	Q230598
Nora Roberts	Q231356
Patricia Cornwell	Q231467
Carson McCullers	Q230591
Muriel Barbery	Q235731
Andre Norton	Q235899
Ruth Prawer Jhabvala	Q235759
Clarice Lispector	Q235955
Lady Caroline Lamb	Q235665
Ana María Matute	Q235403
Barbara Cartland	Q235965
Anne Tyler	Q235615
Georgiana Cavendish, Duchess of Devonshire	Q235644
Patrick White	Q129187
Bruce Jones	Q129371
David Corn	Q129478
Kim Stanley Robinson	Q130779
Bryce Courtenay	Q128837
David Hume	Q37160
Yılmaz Onay	Q247292
Ludwig Gotthard Kosegarten	Q71484
Louise Otto-Peters	Q71507
Grigol Robakidze	Q240954
Olivia Manning	Q243130
Hoimar von Ditfurth	Q71499
Ernst Förstemann	Q71501
Çetin Altan	Q247860
John Paul I	Q37278
Susan Cooper	Q236848
H. Rider Haggard	Q237196
Madame de Lafayette	Q237090
Erica Jong	Q236950
Katherine Anne Porter	Q236958
Diana Wynne Jones	Q236829
Madeleine de Scudéry	Q237095
Fred Vargas	Q237087
Meg Cabot	Q231841
Mary Higgins Clark	Q231736
Beryl Bainbridge	Q237242
Edith Pargeter	Q237235
Karin Boye	Q237413
Max von Schenkendorf	Q71616
Alfred Neumann	Q71548
Nikolaus Herman	Q71706
Ulrich Schmidl	Q71965
Sigrid Hunke	Q71564
Reinhard Jirgl	Q71640
K. H. Scheer	Q71804
Benjamin Lebert	Q71537
Jakob Mauvillon	Q71973
Reinhold Conrad Muschler	Q71831
Heinz Haber	Q71665
Carl Friedrich Wilhelm Jordan	Q71754
Josephine Siebe	Q71947
Mikhail Pavlovich Shishkin	Q71998
Hedwig Lachmann	Q72070
Oscar Blumenthal	Q71567
Philipp Blom	Q72001
Klaus Ebner	Q37370
Francis Bacon	Q37388
Thomas Hobbes	Q37621
John Calvin	Q37577
T. S. Eliot	Q37767
John Gribbin	Q130780
Viktor Suvorov	Q130786
François Rabelais	Q131018
Ango Sakaguchi	Q132111
Claude Simon	Q131549
Eyvind Johnson	Q131326
Karl Adolph Gjellerup	Q131487
George Eliot	Q131333
Frans Eemil Sillanpää	Q132723
Thomas Hardy	Q132805
Anne Bannerman	Q132138
Ayn Rand	Q132524
Harry Martinson	Q132695
Camilo José Cela	Q132589
Natsuo Kirino	Q236684
Elizabeth George	Q236727
Oliver Goldsmith	Q236236
Katherine Paterson	Q236321
Sylvia Plath	Q133054
Shmuel Yosef Agnon	Q133042
Arthur Schopenhauer	Q38193
Donna Leon	Q237420
Laura Ingalls Wilder	Q237514
Sarah Waters	Q237555
Maria Edgeworth	Q237575
Nancy Huston	Q237684
Radclyffe Hall	Q237639
Barbara Boxer	Q237560
Tennessee Williams	Q134262
Katrin Himmler	Q72143
Ludwig Fulda	Q72283
Friedrich Accum	Q72378
Charles Koechlin	Q72543
Gregor Reisch	Q72192
Denton Welch	Q288306
Paul Chadwick	Q287876
Barbara Hambly	Q288198
Anne Perry	Q288627
Robert Jungk	Q72384
Erico Verissimo	Q288501
Katharina Rutschky	Q72361
Michael Denton	Q72519
Odo Marquard	Q63630
Barbara von Krüdener	Q63784
Friedrich von Hagedorn	Q63985
Johann Anton Leisewitz	Q64063
Jonathan Sumption	Q63483
Willi Bredel	Q63528
Otto Julius Bierbaum	Q64001
Paul Carell	Q63893
Adolf Stoecker	Q63479
Max Cahner	Q63791
Uta Ranke-Heinemann	Q63834
Karl Wilhelm Ramler	Q63617
Hermann Kant	Q64043
Peter Gay	Q63670
Adolf Friedrich von Schack	Q63876
Eduard Mörike	Q63699
Otto von Münchhausen	Q63880
Theodor Nöldeke	Q63458
Rolf Singer	Q64091
Yusuf al-Qaradawi	Q64129
Ichiyō Higuchi	Q237948
Lois Lowry	Q238124
Mona Simpson	Q238331
Anita Brookner	Q237687
George Santayana	Q237833
Minette Walters	Q238295
Nancy Kress	Q238438
Jean Webster	Q238140
Helen Keller	Q38203
George Lucas	Q38222
Christophe Bataille	Q38251
Justus Jonas	Q38294
Haruki Murakami	Q134798
Paula Fox	Q134477
Banana Yoshimoto	Q238970
Margaret Drabble	Q239307
Nawal El Saadawi	Q238514
Brian Aldiss	Q238702
Suzanne Weyn	Q238823
Jack Ketchum	Q288916
Marisha Pessl	Q289812
Kathleen E. Woodiwiss	Q291779
Cristina Peri Rossi	Q290502
Kristin Cashore	Q291025
Jean Stafford	Q290633
Catherine Cookson	Q292223
Sue Monk Kidd	Q291774
Isabelle Carré	Q289032
Latife Tekin	Q289377
Leila Aboulela	Q290220
Jan Kerouac	Q292423
Shahrnush Parsipur	Q290306
Clifford D. Simak	Q294625
Miyuki Miyabe	Q290021
Alyson Noël	Q291890
Richelle Mead	Q292071
Maggie Stiefvater	Q293141
Slavenka Drakulić	Q134898
Fay Weldon	Q239501
Shirley Jackson	Q239910
Val McDermid	Q239911
Octavia E. Butler	Q239739
Bulat Okudzhava	Q239652
Gabrielle Roy	Q294999
Roger Zelazny	Q295406
Ann Scott	Q294992
Virginie Despentes	Q295015
Leonie Swann	Q64587
Gaspar Núñez de Arce	Q64652
Georg Friedrich Daumer	Q64661
Wolfgang Koeppen	Q64248
Franz von Dingelstedt	Q64370
Johann Wilhelm Ludwig Gleim	Q64364
Johann Gottlieb Gleditsch	Q64257
Jiří Gruša	Q64579
Wolfgang Menzel	Q64640
Arno Holz	Q64404
Bruno Apitz	Q64503
Johann Christian Günther	Q64642
Richard von Volkmann	Q64707
Daniel Domscheit-Berg	Q64564
Günter Kunert	Q64400
Julius Theodor Christian Ratzeburg	Q64655
Ramón de Campoamor	Q64578
William Somerset Maugham	Q134942
Gertrude Atherton	Q137679
Adolphe d'Ennery	Q137819
Zach Hughes	Q139348
Zadie Smith	Q140052
Dorothy Salisbury Davis	Q140193
J. G. Ballard	Q140201
Pauline Clarke	Q139506
G. K. Chesterton	Q183167
Betje Wolff	Q183007
Walter Jens	Q38573
Ernie Pyle	Q38415
Samuel Richardson	Q295941
Julian Barnes	Q295431
Alex Haley	Q296069
Edward Elmer Smith	Q144090
Mahasweta Devi	Q144391
Zane Grey	Q146763
Edgar Rice Burroughs	Q148234
Sarah Weeks	Q141649
Eleanor Hibbert	Q142106
Margaret Atwood	Q183492
Jorge Amado	Q184440
Dan Simmons	Q297538
Philip José Farmer	Q296256
Ömer Seyfettin	Q297504
Russell Brand	Q296609
Calixthe Beyala	Q297510
Aravind Adiga	Q296299
Louise Lévêque de Vilmorin	Q297881
Helene Hanff	Q297542
Yevgeny Yevtushenko	Q297736
Julien Gracq	Q298051
Joss Whedon	Q298025
Kathy Reichs	Q298221
Jacob M. Appel	Q149489
E. T. A. Hoffmann	Q150471
Anne Rice	Q184785
Sofia Kovalevskaya	Q184535
Ama Ata Aidoo	Q298224
Laurell K. Hamilton	Q298229
Mercedes Lackey	Q298234
Sophie Mereau	Q66313
Johann Heermann	Q65603
Jürgen Thorwald	Q66253
Daniel Sanders	Q65791
Bernhard Grzimek	Q65906
Rudolf Baumbach	Q65888
Henry Kissinger	Q66107
Jan Arnošt Smoler	Q65559
Kurt Held	Q66276
Ludwig Bechstein	Q66379
Thomas Szasz	Q66162
Werner Maser	Q66327
Emil Friedrich Kautzsch	Q65613
Elia Levita	Q66031
Marta Hillers	Q66239
Wilhelm Genazino	Q66248
Heinz Erhardt	Q66370
Luise Gottsched	Q65863
Wilhelm Waiblinger	Q66015
Sigmund von Birken	Q65501
Thomas Murner	Q65378
David Safier	Q65530
Konrad Duden	Q65340
Christian August Vulpius	Q65376
Hermann Sudermann	Q65448
Thomas Carlyle	Q151403
André Malraux	Q151164
Ken Liu	Q151720
Louis-Ferdinand Céline	Q151820
Miguel de Unamuno	Q185085
Karen Traviss	Q298417
Iris Johansen	Q298651
Leigh Brackett	Q298242
E. E. Cummings	Q298703
Alain-Fournier	Q298394
Marie-Claire Blais	Q298358
Henry Drummond	Q328513
Jan Urban Jarník	Q327491
Simon Reeve	Q328935
Steven Hassan	Q329289
John Hodgman	Q329372
David Henry Hwang	Q329897
Ferdinand Bonn	Q327593
Jan Ostroróg	Q328250
Adam Ważyk	Q327556
Endre Lund Eriksen	Q329546
Jack Copeland	Q327637
Bart Moeyaert	Q329066
Amos Elon	Q329124
Karl Koch	Q65130
Friedrich August Wolf	Q65337
Hedwig Courths-Mahler	Q65078
Andrea Maria Schenkel	Q64913
Justus Möser	Q65087
Ernst Wiechert	Q64850
Ernst von Salomon	Q65099
Robert Kurz	Q65157
Nicholas Remy	Q65334
Henry Wadsworth Longfellow	Q152513
Jostein Gaarder	Q185548
Samuel Hopkins Adams	Q185406
Javier Marías	Q299161
Gaston Leroux	Q298827
Clive Barker	Q298761
Maeve Binchy	Q152690
Rudolf Haym	Q66880
Marianne Weber	Q66916
Klaus-Jürgen Wrede	Q66734
Theodor von Sickel	Q66729
Andreas von Bülow	Q66619
Zacharias Wagenaer	Q66501
Johannes von Tepl	Q66762
Kurt Hiller	Q66458
Eugen Rosenstock-Huessy	Q66732
Daniel Casper von Lohenstein	Q66942
Karl Eduard von Holtei	Q66388
Wolfgang Hilbig	Q66426
Lina Morgenstern	Q66502
Konrad of Megenberg	Q66631
Corinne Hofmann	Q66745
Barthold Heinrich Brockes	Q67054
Ludwig Geiger	Q67076
Heinrich Cotta	Q66785
Marcin Kromer	Q66649
Esther Vilar	Q66893
Johann von Rist	Q66615
Claire McNab	Q185860
Jean-Baptiste Alphonse Karr	Q186221
Daniel Keyes	Q185714
Ernesto Sabato	Q186630
Louisa May Alcott	Q185696
Dashiell Hammett	Q186335
Ryūnosuke Akutagawa	Q186326
Richard Hughes	Q302433
Abbas Maroufi	Q305909
Gary Jennings	Q301372
Aaron Allston	Q301632
Jess Walter	Q302768
Russell Thorndike	Q305051
Alfred de Vigny	Q309702
Ralph Ellison	Q299965
Maureen F. McHugh	Q299933
Ngugi wa Thiong’o	Q302910
William H. Gass	Q304874
Frank Moorhouse	Q305402
Abdellah Taïa	Q307988
Delarivier Manley	Q299871
Frans Michael Franzén	Q333297
Roy Hattersley	Q333692
Vagn Lundbye	Q330330
Aleksandr Volodin	Q333048
Augustine Birrell	Q333216
James Holman	Q330191
Eugene Rabinowitch	Q330225
Fredrik Lindström	Q332401
Herbert Fisher	Q333442
Abraham Moses Luncz	Q330415
Eduardo De Filippo	Q332632
Henry Timrod	Q332770
Joy Fielding	Q153177
David Kalisch	Q72630
Alfred Lichtenstein	Q72568
Jeremias Drexel	Q67095
Henry Miller	Q187765
Langston Hughes	Q188093
Walter Mosley	Q188117
William S. Burroughs	Q188176
Zelda Fitzgerald	Q187324
Paul J. McAuley	Q187085
Adeline Yen Mah	Q355184
Edward Lear	Q309759
Will Eisner	Q309850
Michel Butor	Q309716
Patrick O'Brian	Q355438
Carlos Fuentes	Q154691
Justin Cronin	Q153701
John Cleese	Q25014
John Mandeville	Q24766
Graham Chapman	Q24962
Najaf Daryabandari	Q24897
Cordelia Edvardson	Q24999
Ezriel Carlebach	Q25023
Henry of Latvia	Q25070
Siegfried Kracauer	Q76435
Wolfgang Franz von Kobell	Q76459
Johann Christoph Gottsched	Q76442
María Elena Walsh	Q188848
E. M. Forster	Q189119
William Godwin	Q188569
William Gibson	Q980844
Martha Grimes	Q188286
Irving Wallace	Q188440
Rubem Alves	Q189042
Vikram Chandra	Q188388
Elia Kazan	Q72717
Fritz Riemann	Q72796
Ursula Krechel	Q72804
Karl Blind	Q73126
August Krönig	Q73008
Karl Stieler	Q73064
Romuald Karmakar	Q72685
Adolf Glassbrenner	Q72840
Charlotte Auerbach	Q72787
Sergei Buturlin	Q72677
Friedrich Christian Delius	Q72833
Tibor Déry	Q72938
Klaus Kordon	Q72831
Georg Wickram	Q73072
David Walliams	Q359665
Adolf Häckermann	Q362456
Joel Rosenberg	Q361478
Jon Ewo	Q359199
Willem Bosman	Q356633
Paul Bowles	Q358342
Robert Westall	Q359498
Bruce Catton	Q360092
Tim Powers	Q363810
Richard Cook	Q356217
Adolf Gottlob	Q361904
Joan Lingard	Q362577
Romeo Castellucci	Q355805
José do Patrocínio	Q359451
Albert Villaró	Q359660
Irvin Yalom	Q362721
Israel Horovitz	Q356397
Patricia Duncker	Q358006
Horace McCoy	Q359226
Magnus Mills	Q359513
Adolf Bäuerle	Q361119
István Örkény	Q361918
Adolf Bube	Q361069
Tóroddur Poulsen	Q362415
Benito Pérez Galdós	Q189869
Zenna Henderson	Q189642
Philip Pullman	Q190220
Robert F. Kennedy	Q25310
Saul Alinsky	Q25649
Hannah More	Q25880
Christopher Nolan	Q25191
Paul Langevin	Q25320
Theodor Mommsen	Q25351
Constantin von Wurzbach	Q25856
Innokenty Annensky	Q25997
Ulrich Kiesow	Q25593
Roberto Saviano	Q25163
Gene Roddenberry	Q191716
Aleksey Nikolayevich Tolstoy	Q192279
Enid Blyton	Q192069
Adolf Müllner	Q73359
Hans Dominik	Q73784
Charles-Frédéric Reinhard	Q73890
Henry Edwards	Q73507
Henry Lange	Q73364
Marino Moretti	Q73880
Hans Blum	Q73975
Thorstein Veblen	Q73646
Walter Flex	Q73525
Elisabeth Hauptmann	Q73781
Sven Regener	Q73909
Johann Georg Kohl	Q73938
Ludolf Wienbarg	Q73929
Robert Todd Carroll	Q73356
Adolf Mützelburg	Q73549
Michael Bernays	Q73892
Storm Constantine	Q441793
Luiz Alfredo Garcia-Roza	Q441949
Peter Straub	Q364189
Hermann Struck	Q473771
Adolf Törneros	Q364399
Maler Müller	Q481491
Anders Fjellner	Q490922
Ana Veloso	Q483085
David Baldacci	Q495420
Adolf Schults	Q364193
Anders Chydenius	Q490870
Carsten Jensen	Q492593
Anders Cleve	Q490865
Max Dauthendey	Q481550
Amy Thomson	Q481960
Yi Ik	Q495259
Josse De Pauw	Q484702
Tiziano Ferro	Q492029
Stephen Fry	Q192912
Mika Waltari	Q193111
Nikolay Gavrilovich Chernyshevsky	Q192331
Elizabeth Taylor	Q442330
Sebastian Faulks	Q443055
Diana L. Paxson	Q442474
Louise Erdrich	Q442679
Charlotte Turner Smith	Q442902
Sylvia Engdahl	Q443008
Katherine Kurtz	Q443109
Ann Bannon	Q443235
Lydia Maria Child	Q443132
Anna Katharine Green	Q442130
Thomas Nashe	Q443042
Vanna Bonta	Q441990
Julian May	Q443306
Robert Bolt	Q26062
Herodotus	Q26825
Anton LaVey	Q26168
Milton A. Rothman	Q26873
Takeshi Kitano	Q26372
Dionysius of Halicarnassus	Q26204
Alfred Capus	Q198621
Carlo Collodi	Q199588
Paul Bourget	Q198644
Daphne du Maurier	Q193357
Khaled Hosseini	Q193116
Carl Sandburg	Q193608
Zhou Weihui	Q198025
Sibylle Riquetti de Mirabeau	Q199228
Ralph Nader	Q193156
Veniamin Kaverin	Q467741
Hikaru Okuizumi	Q467302
Nathacha Appanah	Q467796
Andreas Andresen	Q495787
Chuck Hogan	Q466660
Frederick Marryat	Q467770
Kate DiCamillo	Q467066
Marguerite Audoux	Q466650
James Rollins	Q467404
Noel Streatfeild	Q467058
Batya Gur	Q466782
Heinrich Cornelius Agrippa	Q76568
Alexander Gottlieb Baumgarten	Q76517
Klaus Groth	Q76494
Siegbert Tarrasch	Q76558
Richard Dehmel	Q76590
August Bebel	Q76520
Günter Wallraff	Q76529
Karl Jaspers	Q76509
Friedrich Schleiermacher	Q76576
Charles Fort	Q443325
Kelley Armstrong	Q443820
Henry Handel Richardson	Q443398
Margaret Laurence	Q443591
Elizabeth A. Lynn	Q443462
Tamora Pierce	Q443681
J. B. Priestley	Q443528
Rosina Bulwer Lytton	Q443655
Mikhail Bakunin	Q27645
Ann Druyan	Q27167
Dezső Kosztolányi	Q27610
Nelson H. Barbour	Q27766
Peter Forsskål	Q27684
Max Brooks	Q28170
Louis Antoine de Saint-Just	Q27764
James Krüss	Q28147
Edgar Lee Masters	Q468247
Susan Glaspell	Q468667
Ciro Alegría	Q468003
Sarah Fielding	Q467935
Jessica Bird	Q468550
Rebecca Walker	Q468676
Madeline Miller	Q469349
Jean Ingelow	Q467915
James Oliver Curwood	Q468156
Brian O'Nolan	Q469093
Yaeko Nogami	Q468335
John Masters	Q469250
Charles Brockden Brown	Q468280
Anne Michaels	Q469135
Alaa Al Aswany	Q467869
Manfred Eigen	Q76600
Joseph Derenbourg	Q76591
Jim Carroll	Q444806
Marion Chesney	Q444697
Fumiko Hayashi	Q445839
Diane Duane	Q445930
Mary Hayley Bell	Q444867
Sarah Orne Jewett	Q444995
Jenny Nimmo	Q445919
Katharine Kerr	Q443830
Marcia Muller	Q444016
Nicola Griffith	Q444362
Bruce Alexander Cook	Q444730
Cynthia Ozick	Q444849
Taylor Caldwell	Q445429
John C. Wright	Q202122
Robert Graves	Q201732
Adolfo Caminha	Q199644
Seichō Matsumoto	Q201580
Joseph Alexander Altsheler	Q201858
Juan Rulfo	Q200661
Edith Bruck	Q203533
Lorrie Moore	Q204168
Ferenc Karinthy	Q201579
Wallace Stegner	Q203460
Mário de Andrade	Q203623
Jo Nesbø	Q202693
Guan Hanqing	Q28777
Ludwig Rellstab	Q28858
John Ashbery	Q29418
Musa Anter	Q28862
Íñigo López de Mendoza, 1st Marquis of Santillana	Q28779
Linda Howard	Q446121
Charles Palliser	Q446517
Maurice Gee	Q446396
Helle Helle	Q446597
Sherrilyn Kenyon	Q446209
Bernard Cornwell	Q446605
Laura Lippman	Q446483
Pietro Metastasio	Q29473
Sheena Iyengar	Q29752
Stanisław Trembecki	Q29748
Jean Venturini	Q29766
Euclides da Cunha	Q470334
Rubem Fonseca	Q470133
Aleksey Pisemsky	Q470371
Eloise Jarvis McGraw	Q469464
Stephen J. Cannell	Q470282
Paolo Giordano	Q469656
Mary Doria Russell	Q469737
Sawako Ariyoshi	Q469707
Elizabeth Ann Scarborough	Q469370
Meg Rosoff	Q470302
Antonio Fogazzaro	Q470067
Gabrielle-Suzanne de Villeneuve	Q469944
Elizabeth Inchbald	Q469974
Dag Solstad	Q469966
Alan Moore	Q205739
Yevgeny Zamyatin	Q204868
A. A. Milne	Q207036
William Saroyan	Q207356
Stephen Crane	Q206534
